id,user_id,week_start,category_breakdown,total
213454c0-e18f-4a9c-84c0-6a20aabbc27e,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-22 00:00:00+00,"{""lifestyle"":12.98,""food-drink"":3.162,""energy-home"":2.67024}",18.81224
234209b2-9914-4dd4-989b-8dd3bd93fc2a,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-11 00:00:00+00,"{""lifestyle"":4.12}",4.12
53b7f44a-c87e-4acc-af3e-01378c0b6c33,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-29 00:00:00+00,"{""travel"":0.67936}",0.67936
5e181c57-5f0f-4925-b2ad-443d9508105c,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-08 00:00:00+00,"{""lifestyle"":2.943}",2.943
a9f8b1d0-4201-49b8-9be9-7c01d9e40f0d,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-15 00:00:00+00,"{""energy-home"":11.386}",11.386
